Strain,nopred1,nopred2,nopred3,nopred4,pred1,pred2,pred3,pred4,Time(h),MeanDiff
B2-06,0.1516,0.1387,0.1528,0.1542,0.1954,0.1805,0.1857,0.1518,3,-0.029025
B2-06,0.1624,0.1464,0.1683,0.1665,0.1923,0.189,0.1924,0.1602,6,-0.022575
B2-06,0.1906,0.1713,0.1971,0.1955,0.2179,0.2146,0.2145,0.1776,21,-0.017525
B2-06,0.2151,0.1929,0.2142,0.219,0.2297,0.229,0.236,0.1973,24,-0.0127
B2-06,0.2273,0.2002,0.224,0.2387,0.2744,0.2443,0.2412,0.214,27,-0.020925
B2-06,0.2465,0.2058,0.2339,0.2593,0.271,0.254,0.2531,0.2282,30,-0.0152
B2-06,0.3384,0.2827,0.3051,0.3577,0.3148,0.2776,0.291,0.2682,45,0.033075
B2-06,0.319,0.297,0.3689,0.3244,0.3478,0.2846,0.3081,0.2813,48,0.021875
B2-06,0.338,0.3243,0.4245,0.3288,0.3731,0.308,0.3273,0.31,51,0.0243
B2-06,0.4289,0.4944,0.7132,0.4975,0.4486,0.3305,0.4117,0.4006,66,0.13565
B2-06,0.4695,0.6212,0.6445,0.5173,0.4737,0.3479,0.4432,0.4381,69,0.1374
B2-06,0.393,0.5332,0.5954,0.4067,0.4549,0.3473,0.4874,0.4553,72,0.04585
B2-06,0.4098,0.5977,0.7265,0.4886,0.4482,0.3533,0.4503,0.4083,75,0.140625
B2-06,0.5764,0.6925,0.6078,0.7163,0.4399,0.3029,0.3746,0.476,90,0.2499
B2-06,0.6318,0.6418,0.6592,0.7498,0.5205,0.4486,0.411,0.508,93,0.198625
B2-06,0.6013,0.7489,0.6954,0.6546,0.4459,0.408,0.3942,0.5254,96,0.231675
B2-06,0.7264,0.7537,0.6962,0.9616,0.4555,0.459,0.674,0.5636,99,0.24645
B2-06,0.6226,0.9427,0.7757,0.7462,0.4545,0.4587,0.4429,0.3955,114,0.3339
B2-06,0.5825,0.9036,0.7736,0.6329,0.4824,0.5909,0.6552,0.5228,117,0.160325
B2-07,0.1549,0.1465,0.1589,0.1536,0.1731,0.1898,0.1832,0.2028,0,-0.03375
B2-07,0.1569,0.1498,0.169,0.1593,0.173,0.1862,0.186,0.1854,3,-0.0239
B2-07,0.1685,0.1588,0.1808,0.1703,0.173,0.2079,0.1913,0.1852,6,-0.01975
B2-07,0.1862,0.1751,0.2021,0.1894,0.1906,0.2245,0.2054,0.2041,21,-0.01795
B2-07,0.207,0.1942,0.2264,0.2097,0.2003,0.236,0.223,0.2266,24,-0.01215
B2-07,0.2253,0.2109,0.2446,0.2281,0.214,0.2484,0.221,0.238,27,-0.003125
B2-07,0.2545,0.2348,0.2689,0.2468,0.2341,0.2751,0.2294,0.2532,30,0.0033
B2-07,0.2886,0.2534,0.3252,0.279,0.2629,0.3131,0.261,0.2767,45,0.008125
B2-07,0.3138,0.2814,0.3474,0.3155,0.2951,0.3484,0.2621,0.2866,48,0.016475
B2-07,0.3353,0.2974,0.3802,0.3207,0.3391,0.3613,0.2697,0.3012,51,0.015575
B2-07,0.3995,0.3688,0.4617,0.3755,0.392,0.4389,0.303,0.3472,66,0.0311
B2-07,0.4254,0.3829,0.5245,0.4932,0.4379,0.4625,0.3198,0.4414,69,0.0411
B2-07,0.4627,0.4271,0.5669,0.519,0.4841,0.5365,0.3215,0.4084,72,0.0563
B2-07,0.5038,0.45,0.5919,0.6845,0.5085,0.6203,0.345,0.5535,75,0.050725
B2-07,0.5189,0.5056,0.8161,0.6377,0.6689,0.6103,0.3478,0.4332,90,0.104525
B2-07,0.5522,0.5138,0.8867,0.8771,0.6091,0.574,0.3938,0.3532,93,0.224925
B2-07,0.5316,0.5073,0.7317,0.7283,0.619,0.5541,0.4002,0.3255,96,0.150025
B2-07,0.5467,0.521,0.9196,0.6636,0.6609,0.5537,0.3991,0.4247,99,0.153125
B2-07,0.7243,0.579,1.3833,0.7956,0.7166,0.5198,0.4152,0.3062,114,0.3811
B2-07,0.7908,0.6125,1.3819,1.1169,0.7126,0.4614,0.3982,0.3011,117,0.5072
B2-10,0.1316,0.1338,0.143,0.1263,0.1553,0.1611,0.1564,0.1579,0,-0.024
B2-10,0.135,0.1347,0.1443,0.1264,0.1514,0.155,0.1488,0.1481,3,-0.015725
B2-10,0.1455,0.1396,0.1536,0.1332,0.1558,0.1677,0.1502,0.1508,6,-0.01315
B2-10,0.1842,0.1628,0.2252,0.2225,0.1769,0.1987,0.2027,0.2087,21,0.001925
B2-10,0.2384,0.2156,0.2574,0.2492,0.201,0.228,0.2208,0.2312,24,0.0199
B2-10,0.2352,0.1955,0.2571,0.2438,0.2079,0.2153,0.2018,0.2166,27,0.0225
B2-10,0.3398,0.2544,0.3312,0.3141,0.2482,0.2607,0.2303,0.2489,30,0.06285
B2-10,0.2753,0.2998,0.3149,0.291,0.2334,0.2714,0.2622,0.2587,45,0.038825
B2-10,0.3693,0.2723,0.3082,0.3068,0.2517,0.2744,0.2684,0.2578,48,0.051075
B2-10,0.3055,0.3631,0.2926,0.3499,0.2458,0.3262,0.3128,0.3171,51,0.0273
B2-10,0.3045,0.326,0.3324,0.355,0.271,0.3613,0.3041,0.3116,66,0.017475
B2-10,0.4139,0.3678,0.3963,0.3992,0.2719,0.3402,0.3193,0.3256,69,0.08005
B2-10,0.3962,0.371,0.3569,0.4025,0.2708,0.343,0.3282,0.3447,72,0.059975
B2-10,0.4346,0.3768,0.4544,0.4221,0.2968,0.3606,0.3551,0.3481,75,0.081825
B2-10,0.412,0.3656,0.3991,0.4241,0.2737,0.3313,0.3611,0.3572,90,0.069375
B2-10,0.5573,0.4376,0.5162,0.4514,0.3404,0.3758,0.3596,0.3462,93,0.135125
B2-10,0.4693,0.3942,0.4587,0.4697,0.3161,0.3605,0.3598,0.3965,96,0.08975
B2-10,0.5456,0.4511,0.4623,0.4928,0.3101,0.3167,0.3735,0.3883,99,0.1408
B2-10,0.4257,0.4029,0.5785,0.5305,0.2785,0.3351,0.3426,0.3754,114,0.1515
B2-10,0.5932,0.43,0.9922,0.5042,0.2476,0.2972,0.3379,0.4065,117,0.3076
B2-11,0.1868,0.1658,0.1611,0.1625,0.1901,0.1961,0.1887,0.1607,0,-0.01485
B2-11,0.2046,0.1712,0.1698,0.1707,0.2043,0.1998,0.1963,0.1618,3,-0.011475
B2-11,0.2192,0.1848,0.1812,0.1828,0.2223,0.213,0.2109,0.1684,6,-0.01165
B2-11,0.2602,0.2094,0.2053,0.2088,0.2411,0.2382,0.2332,0.1876,21,-0.0041
B2-11,0.3048,0.2319,0.2276,0.2389,0.261,0.2673,0.2541,0.2058,24,0.00375
B2-11,0.3177,0.2543,0.2427,0.2577,0.2797,0.28,0.2717,0.221,27,0.005
B2-11,0.336,0.3002,0.2742,0.2852,0.3169,0.3032,0.3054,0.2439,30,0.00655
B2-11,0.3989,0.3282,0.3161,0.3157,0.3673,0.3347,0.3683,0.2778,45,0.0027
B2-11,0.3866,0.3451,0.3392,0.339,0.4013,0.3706,0.4031,0.3065,48,-0.0179
B2-11,0.4111,0.3671,0.3578,0.3618,0.4332,0.4171,0.4336,0.3364,51,-0.030625
B2-11,0.5167,0.4566,0.4343,0.4456,0.5731,0.4915,0.549,0.4271,66,-0.046875
B2-11,0.5258,0.5091,0.5055,0.5181,0.6123,0.558,0.5887,0.4893,69,-0.04745
B2-11,0.5449,0.459,0.6397,0.5107,0.6472,0.5729,0.6211,0.5611,72,-0.062
B2-11,0.5891,0.5045,0.5564,0.6275,0.6475,0.6021,0.643,0.5639,75,-0.04475
B2-11,0.8218,1.0938,0.8752,0.8949,0.7326,0.6382,0.7603,0.7071,90,0.211875
B2-11,0.8467,0.9734,0.9988,0.8186,0.8245,0.7287,0.807,0.7615,93,0.12895
B2-11,0.628,0.8294,0.4797,0.5607,0.7091,0.636,0.7096,0.8829,96,-0.10995
B2-11,0.6983,0.9747,0.4806,0.6583,0.7731,0.7395,0.7745,0.9296,99,-0.1012
B2-11,0.8915,0.8223,0.6303,0.9054,0.7286,0.7753,0.7843,1.0518,114,-0.022625
B2-11,0.9807,0.5921,0.528,0.8189,0.7942,0.5909,0.8091,0.8332,117,-0.026925
B2-12,0.1805,0.1695,0.1808,0.1778,0.2188,0.1894,0.2183,0.1969,0,-0.0287
B2-12,0.1924,0.1886,0.1886,0.2074,0.2259,0.2187,0.2233,0.2269,3,-0.02945
B2-12,0.2402,0.2262,0.1996,0.2163,0.2356,0.2202,0.2168,0.2291,6,-0.00485
B2-12,0.2299,0.3011,0.2427,0.282,0.2218,0.2061,0.219,0.2412,21,0.0419
B2-12,0.2697,0.29,0.2618,0.2716,0.2392,0.2024,0.2136,0.2647,24,0.0433
B2-12,0.3008,0.3267,0.2578,0.2909,0.2269,0.2005,0.2051,0.2344,27,0.077325
B2-12,0.3718,0.3649,0.2728,0.3629,0.2321,0.195,0.2041,0.2287,30,0.128125
B2-12,0.4374,0.398,0.348,0.4536,0.2492,0.2006,0.2352,0.2377,45,0.178575
B2-12,0.3675,0.3969,0.3764,0.415,0.235,0.211,0.2065,0.2766,48,0.156675
B2-12,0.4662,0.3819,0.4466,0.567,0.2328,0.1911,0.1968,0.2506,51,0.2476
B2-12,0.4675,0.5753,0.5585,0.5442,0.2478,0.2214,0.2177,0.2093,66,0.312325
B2-12,0.5534,0.8016,0.5884,0.5935,0.2763,0.2503,0.2778,0.2422,69,0.372575
B2-12,0.6583,0.5496,0.4705,0.6041,0.2547,0.1861,0.2338,0.2314,72,0.344125
B2-12,0.4819,0.5917,0.5442,0.7399,0.221,0.2242,0.2043,0.2163,75,0.372975
B2-12,0.5607,0.6354,0.6349,0.6074,0.3467,0.2152,0.2966,0.229,90,0.337725
B2-12,0.5513,0.5742,0.7892,0.7122,0.3994,0.2732,0.3838,0.2778,93,0.323175
B2-12,0.4815,0.5808,0.6695,0.6415,0.248,0.2764,0.2946,0.2152,96,0.334775
B2-12,0.5299,0.6047,0.6708,0.7457,0.3901,0.2327,0.341,0.5102,99,0.269275
B2-12,0.6024,0.6966,0.6879,0.6027,0.241,0.2457,0.3239,0.2435,114,0.383875
B2-12,0.5377,0.5937,0.6581,0.6842,0.2502,0.198,0.2498,0.2934,117,0.370575
B5-01,0.1376,0.1276,0.1439,0.1366,0.1937,0.1693,0.1988,0.183,0,-0.049775
B5-01,0.1417,0.1284,0.1458,0.1398,0.1682,0.1607,0.1724,0.1701,3,-0.028925
B5-01,0.149,0.1325,0.1508,0.1475,0.1752,0.1685,0.183,0.1735,6,-0.0301
B5-01,0.1665,0.1452,0.1719,0.165,0.1921,0.1807,0.1965,0.1826,21,-0.025825
B5-01,0.1807,0.1523,0.2027,0.1914,0.2188,0.1964,0.214,0.1989,24,-0.02525
B5-01,0.1898,0.1714,0.2076,0.2037,0.2357,0.2178,0.2352,0.2082,27,-0.0311
B5-01,0.208,0.1804,0.2289,0.2083,0.249,0.2261,0.2416,0.2318,30,-0.030725
B5-01,0.208,0.2224,0.3086,0.2623,0.2988,0.263,0.2747,0.2707,45,-0.026475
B5-01,0.2181,0.2322,0.3221,0.2714,0.3107,0.2851,0.316,0.2949,48,-0.040725
B5-01,0.263,0.2823,0.2932,0.3121,0.344,0.3085,0.325,0.3249,51,-0.03795
B5-01,0.3751,0.3704,0.4205,0.4489,0.3587,0.3488,0.4244,0.4386,66,0.0111
B5-01,0.3629,0.3697,0.4859,0.523,0.3958,0.3932,0.4431,0.4148,69,0.02365
B5-01,0.3629,0.3832,0.4881,0.5051,0.4031,0.3781,0.4872,0.418,72,0.013225
B5-01,0.4278,0.4031,0.506,0.5836,0.3995,0.3725,0.5299,0.4282,75,0.0476
B5-01,0.556,0.5538,0.6344,0.6146,0.3753,0.3112,0.5304,0.4601,90,0.17045
B5-01,0.6941,0.5539,0.6321,0.5908,0.3999,0.3287,0.6588,0.4937,93,0.14745
B5-01,0.5844,0.5545,0.6098,0.601,0.3387,0.3051,0.5421,0.4912,96,0.16815
B5-01,0.5861,0.5828,0.6654,0.7208,0.3937,0.3294,0.5716,0.485,99,0.19385
B5-01,0.7428,0.5683,0.6302,0.6497,0.4096,0.3941,0.5413,0.4561,114,0.197475
B5-01,0.8021,0.6646,0.6404,0.6907,0.4656,0.4986,0.5651,0.394,117,0.218625
B5-02,0.135,0.1358,0.1465,0.1414,0.1653,0.1725,0.1828,0.1697,0,-0.0329
B5-02,0.1407,0.1388,0.1525,0.1453,0.1607,0.1729,0.1778,0.1659,3,-0.025
B5-02,0.1426,0.1417,0.1627,0.1665,0.1677,0.1824,0.1859,0.1768,6,-0.024825
B5-02,0.159,0.1558,0.1789,0.2094,0.1856,0.2004,0.2065,0.1884,21,-0.01945
B5-02,0.1723,0.1698,0.1872,0.2235,0.1999,0.209,0.2174,0.2064,24,-0.019975
B5-02,0.1841,0.1764,0.1963,0.2202,0.2182,0.2335,0.232,0.208,27,-0.028675
B5-02,0.1928,0.1992,0.2087,0.2474,0.2276,0.2258,0.2422,0.2181,30,-0.0164
B5-02,0.2427,0.2407,0.239,0.2945,0.2569,0.2554,0.283,0.2439,45,-0.005575
B5-02,0.2458,0.2372,0.2364,0.2676,0.2774,0.2644,0.3011,0.2449,48,-0.0252
B5-02,0.2584,0.257,0.2351,0.2526,0.2988,0.286,0.3261,0.2663,51,-0.043525
B5-02,0.4402,0.3385,0.2826,0.2491,0.3803,0.3319,0.4087,0.299,66,-0.027375
B5-02,0.3502,0.2924,0.2642,0.2886,0.4031,0.3464,0.4599,0.3111,69,-0.081275
B5-02,0.3043,0.2485,0.2461,0.353,0.4683,0.3888,0.5337,0.3356,72,-0.143625
B5-02,0.3729,0.2821,0.2695,0.3952,0.4764,0.3839,0.5489,0.3199,75,-0.10235
B5-02,0.3432,0.274,0.3373,0.295,0.4689,0.3263,0.5956,0.309,90,-0.112575
B5-02,0.3214,0.3297,0.3715,0.3196,0.5901,0.3618,0.577,0.3283,93,-0.12875
B5-02,0.3063,0.2832,0.3377,0.2603,0.4724,0.4355,0.518,0.2892,96,-0.1319
B5-02,0.2703,0.2672,0.3482,0.2668,0.481,0.4781,0.5603,0.3712,99,-0.184525
B5-02,0.3289,0.2858,0.4522,0.5093,0.4551,0.3898,0.4556,0.2968,114,-0.005275
B5-02,0.3826,0.3294,0.506,1.0243,0.4156,0.5618,0.5742,0.5494,117,0.035325
B5-03,0.148,0.1561,0.1391,0.1589,0.1711,0.2063,0.1756,0.1933,0,-0.03605
B5-03,0.1547,0.1644,0.1446,0.1694,0.1779,0.1763,0.1793,0.1805,3,-0.020225
B5-03,0.1655,0.1755,0.1543,0.1818,0.1844,0.1812,0.1905,0.1895,6,-0.017125
B5-03,0.2349,0.2195,0.1991,0.2379,0.2216,0.2079,0.2267,0.2087,21,0.006625
B5-03,0.2419,0.2365,0.2379,0.2857,0.2334,0.2224,0.2376,0.2227,24,0.021475
B5-03,0.2323,0.2627,0.3434,0.2883,0.2545,0.2359,0.2617,0.2326,27,0.0355
B5-03,0.2576,0.3477,0.4172,0.3727,0.2834,0.2468,0.2613,0.2405,30,0.0908
B5-03,0.2951,0.2051,0.2709,0.3386,0.3288,0.2776,0.3096,0.2729,45,-0.0198
B5-03,0.2574,0.2936,0.2464,0.2736,0.3537,0.2981,0.3265,0.2906,48,-0.049475
B5-03,0.3293,0.2864,0.3248,0.3661,0.3684,0.3232,0.3663,0.3095,51,-0.0152
B5-03,0.37,0.5232,0.424,0.3779,0.5015,0.3867,0.4238,0.3792,66,0.000975
B5-03,0.3414,0.6798,0.5887,0.5241,0.5333,0.41,0.3191,0.4084,69,0.1158
B5-03,0.364,0.556,0.7228,0.5241,0.5351,0.4542,0.7876,0.439,72,-0.01225
B5-03,0.4426,0.6379,0.901,0.69,0.5572,0.4694,0.8791,0.4423,75,0.080875
B5-03,0.4945,0.6924,0.6468,0.9295,0.6681,0.2255,0.6721,0.4553,90,0.18555
