Strain,nopred1,nopred2,nopred3,nopred4,pred1,pred2,pred3,pred4,Time(h),MeanDiff
B5-06,0.2964,0.3248,0.2675,0.2677,0.3162,0.3556,0.2802,0.4715,45,-0.066775
B5-06,0.3138,0.3221,0.285,0.263,0.3204,0.3165,0.2249,0.6611,48,-0.08475
B5-06,0.3161,0.4073,0.318,0.402,0.3568,0.3863,0.2485,0.7651,51,-0.078325
B5-06,0.3789,0.3579,0.3482,0.3068,0.4886,0.6644,0.3032,0.9507,66,-0.253775
B5-06,0.4499,0.5605,0.4635,0.3092,0.813,1.0768,0.3429,1.219,69,-0.41715
B5-06,0.6131,0.8349,0.629,0.2894,0.9794,0.948,0.432,1.0566,72,-0.2624
B5-06,0.5989,0.8909,0.3643,0.3546,1.0506,1.166,0.5109,1.2186,75,-0.43435
B5-06,0.5528,0.8123,0.2693,1.109,0.9446,1.2205,0.623,1.4662,90,-0.377725
B5-06,0.4728,0.8632,0.5489,0.7383,1.1014,1.17,0.7137,1.2179,93,-0.39495
B5-06,0.5912,0.7446,0.5744,1.0374,1.0218,1.0668,0.8217,1.1911,96,-0.28845
B5-06,0.8299,0.5879,0.5602,0.6376,1.0355,1.0842,0.8488,1.1622,99,-0.378775
B5-06,0.935,0.4211,0.3365,0.6086,0.9296,1.3373,0.9508,1.5642,114,-0.620175
B5-06,0.729,0.8381,0.4131,0.8324,1.0476,1.388,1.2414,1.0556,117,-0.48
B5-07,0.1417,0.1395,0.1304,0.1283,0.1565,0.1719,0.1624,0.1577,0,-0.02715
B5-07,0.1439,0.1432,0.1329,0.1306,0.1605,0.1685,0.1639,0.1669,3,-0.0273
B5-07,0.1492,0.1511,0.1358,0.1322,0.1608,0.1752,0.1631,0.1574,6,-0.02205
B5-07,0.1649,0.1607,0.155,0.1429,0.1703,0.1888,0.1756,0.1693,21,-0.020125
B5-07,0.1753,0.1708,0.1612,0.1507,0.1855,0.1996,0.1803,0.1734,24,-0.0202
B5-07,0.1826,0.1794,0.1671,0.1562,0.1822,0.2077,0.187,0.1857,27,-0.019325
B5-07,0.1925,0.1971,0.1769,0.1659,0.1886,0.2205,0.1919,0.1925,30,-0.015275
B5-07,0.2265,0.2479,0.2071,0.209,0.2169,0.2483,0.205,0.2232,45,-0.000725
B5-07,0.2457,0.2795,0.2148,0.2317,0.2249,0.2717,0.2214,0.2415,48,0.00305
B5-07,0.2852,0.3155,0.2427,0.2468,0.2446,0.2829,0.2324,0.2529,51,0.01935
B5-07,0.4588,0.5071,0.2578,0.463,0.3156,0.3781,0.2827,0.3032,66,0.101775
B5-07,0.8056,0.569,0.263,0.4776,0.3439,0.4054,0.2944,0.3327,69,0.1847
B5-07,1.123,0.5848,0.3709,0.5666,0.3478,0.4444,0.4893,0.345,72,0.2547
B5-07,0.9422,0.6521,0.4886,0.7405,0.3857,0.4555,0.8848,0.3615,75,0.183975
B5-07,0.556,0.73,0.5684,0.6945,0.3412,0.6705,0.9646,0.4425,90,0.032525
B5-07,0.6044,0.6125,0.4775,0.5186,0.4941,0.5375,0.6805,0.5039,93,-0.00075
B5-07,0.6323,0.6499,0.5251,0.7812,0.6041,1.1104,0.8343,0.6472,96,-0.151875
B5-07,0.703,0.7086,0.6283,0.9089,0.6643,1.1723,0.7007,0.7526,99,-0.085275
B5-07,0.5623,0.6175,0.7177,0.626,0.5609,0.5439,0.4884,0.5056,114,0.106175
B5-07,0.5733,0.7073,0.6241,0.6245,0.4879,0.5882,0.4062,0.5616,117,0.121325
B5-08,0.1656,0.1698,0.1645,0.1607,0.1794,0.1974,0.1909,0.1931,0,-0.02505
B5-08,0.1699,0.1778,0.1661,0.1613,0.1732,0.1771,0.1861,0.1853,3,-0.01165
B5-08,0.1801,0.1839,0.176,0.1688,0.1601,0.1826,0.1933,0.186,6,-0.0033
B5-08,0.1996,0.1897,0.1817,0.1772,0.1725,0.1712,0.1868,0.1854,21,0.008075
B5-08,0.2127,0.2114,0.2184,0.1953,0.1829,0.1876,0.1985,0.2007,24,0.017025
B5-08,0.2416,0.2126,0.2158,0.2169,0.1824,0.1905,0.1868,0.1801,27,0.036775
B5-08,0.2961,0.2661,0.2565,0.3416,0.1887,0.2018,0.1927,0.1752,30,0.100475
B5-08,0.3287,0.3157,0.3069,0.3409,0.2036,0.2117,0.1939,0.1823,45,0.125175
B5-08,0.344,0.3815,0.3664,0.475,0.1916,0.2443,0.2177,0.3679,48,0.13635
B5-08,0.381,0.4947,0.3902,0.7138,0.5286,0.2418,0.2003,0.253,51,0.189
B5-08,0.4068,0.4441,0.4231,0.4512,0.2143,0.2266,0.2424,0.213,66,0.207225
B5-08,0.6585,0.4288,0.4828,0.6402,0.5647,0.2283,0.2743,0.2834,69,0.2149
B5-08,0.6923,0.4714,0.4656,0.8386,0.4482,0.2727,0.2833,0.1808,72,0.320725
B5-08,0.76,0.5751,0.5065,0.6028,0.3689,0.2683,0.2936,0.2175,75,0.324025
B5-08,0.601,0.5674,0.6135,0.6002,0.2279,0.2528,0.3879,0.2549,90,0.31465
B5-08,0.674,0.6861,0.6142,0.8041,0.2557,0.2958,0.4416,0.3329,93,0.3631
B5-08,0.7126,0.7362,0.6449,0.7513,0.2083,0.2987,0.2537,0.2158,96,0.467125
B5-08,0.8217,0.7525,0.6156,0.8791,0.312,0.2408,0.2483,0.2318,99,0.509
B5-08,0.9246,0.7289,0.7116,0.8552,0.2223,0.2124,0.3744,0.2541,114,0.539275
B5-08,0.8275,0.7532,0.7318,1.1058,0.2194,0.3593,0.2573,0.2052,117,0.594275
K1-01,0.1643,0.1662,0.1682,0.1607,0.2183,0.2011,0.199,0.195,0,-0.0385
K1-01,0.1683,0.1747,0.1781,0.1689,0.205,0.2029,0.1938,0.1928,3,-0.026125
K1-01,0.1812,0.1897,0.1941,0.1765,0.2122,0.1988,0.1883,0.1997,6,-0.014375
K1-01,0.2024,0.2091,0.2219,0.1973,0.2125,0.2155,0.2011,0.2186,21,-0.00425
K1-01,0.2579,0.2458,0.24,0.2163,0.2275,0.2342,0.1995,0.2122,24,0.02165
K1-01,0.2441,0.2676,0.263,0.247,0.2355,0.2309,0.2137,0.2184,27,0.0308
K1-01,0.2626,0.3049,0.2764,0.2779,0.2416,0.2421,0.2236,0.2401,30,0.0436
K1-01,0.3283,0.2828,0.3994,0.3147,0.2579,0.2552,0.2246,0.2347,45,0.0882
K1-01,0.39,0.3138,0.3622,0.3093,0.2598,0.2348,0.2246,0.2514,48,0.101175
K1-01,0.3217,0.3093,0.3866,0.3042,0.2567,0.2411,0.2558,0.2748,51,0.07335
K1-01,0.4514,0.3519,0.3223,0.4585,0.2671,0.2551,0.291,0.2735,66,0.12435
K1-01,0.5031,0.4093,0.4197,0.5256,0.2738,0.3225,0.3172,0.2788,69,0.16635
K1-01,0.5084,0.3944,0.4514,0.5354,0.26,0.2999,0.3535,0.2713,72,0.176225
K1-01,0.465,0.4473,0.4803,0.6015,0.2776,0.3072,0.311,0.3055,75,0.1982
K1-01,0.4184,0.3974,0.4034,0.5633,0.3243,0.3321,0.2927,0.3176,90,0.12895
K1-01,0.4398,0.3743,0.4734,0.5754,0.4553,0.3228,0.2851,0.3139,93,0.12145
K1-01,0.5029,0.3383,0.4591,0.5583,0.4452,0.3601,0.2938,0.3981,96,0.09035
K1-01,0.5132,0.4299,0.4827,0.789,0.33,0.3528,0.2981,0.3292,99,0.226175
K1-01,0.5504,0.3512,0.4591,0.5988,0.3124,0.3146,0.3038,0.3204,114,0.177075
K1-01,0.5371,0.3253,0.4739,0.6559,0.337,0.3004,0.2695,0.2676,117,0.204425
K1-02,0.1671,0.1647,0.1525,0.157,0.1953,0.1831,0.1959,0.2005,0,-0.033375
K1-02,0.1712,0.1663,0.1684,0.1619,0.1942,0.1838,0.1911,0.1979,3,-0.0248
K1-02,0.1849,0.186,0.1758,0.1764,0.2081,0.1875,0.2011,0.2101,6,-0.020925
K1-02,0.2043,0.1998,0.2003,0.2188,0.2252,0.2029,0.222,0.2286,21,-0.013875
K1-02,0.2416,0.2169,0.2168,0.2651,0.2408,0.2089,0.2255,0.2747,24,-0.002375
K1-02,0.2351,0.2217,0.2366,0.2503,0.2623,0.2217,0.2376,0.2552,27,-0.008275
K1-02,0.2808,0.2356,0.2868,0.3306,0.2963,0.2253,0.2625,0.2807,30,0.01725
K1-02,0.3445,0.3211,0.3524,0.356,0.3042,0.2343,0.2925,0.263,45,0.07
K1-02,0.3537,0.3683,0.3576,0.2828,0.3242,0.2798,0.3532,0.3524,48,0.0132
K1-02,0.3478,0.3708,0.4098,0.3221,0.3094,0.3778,0.4815,0.2748,51,0.00175
K1-02,0.5133,0.4808,0.4784,0.313,0.3876,0.3908,0.539,0.4012,66,0.016725
K1-02,0.5082,0.4903,0.5748,0.2974,0.4899,0.3028,0.3658,0.7854,69,-0.0183
K1-02,0.5357,0.4872,0.5952,0.4114,0.4616,0.565,0.5908,0.8084,72,-0.099075
K1-02,0.4735,0.6024,0.6289,0.5461,0.8125,0.6619,0.7501,0.8552,75,-0.2072
K1-02,0.6013,0.644,0.6073,0.3299,0.5055,0.6652,0.7565,0.5625,90,-0.0768
K1-02,0.5436,0.7267,0.6772,0.4337,0.9357,0.3917,0.5585,0.6431,93,-0.03695
K1-02,0.5989,0.8629,0.7541,0.7361,0.8953,0.3752,0.4859,0.5028,96,0.1732
K1-02,0.7607,0.729,0.69,0.4878,0.7548,0.6275,0.4699,0.5877,99,0.0569
K1-02,0.5633,0.9039,0.7415,0.3916,0.408,0.3446,0.4188,0.4221,114,0.2517
K1-02,0.5566,0.7838,0.8499,0.4135,0.3528,0.3556,0.3909,0.3458,117,0.289675
K1-04,0.1517,0.1663,0.151,0.1609,0.1844,0.1889,0.2079,0.1905,0,-0.03545
K1-04,0.1625,0.1784,0.1582,0.167,0.1932,0.1915,0.1954,0.1924,3,-0.0266
K1-04,0.175,0.1876,0.1743,0.1795,0.2075,0.2058,0.2034,0.2006,6,-0.025225
K1-04,0.2143,0.2181,0.2342,0.1989,0.2297,0.2158,0.2254,0.2274,21,-0.0082
K1-04,0.2522,0.2265,0.2081,0.2401,0.2362,0.2205,0.2195,0.2057,24,0.01125
K1-04,0.2701,0.2642,0.278,0.2446,0.2882,0.2593,0.2441,0.2486,27,0.004175
K1-04,0.2951,0.285,0.292,0.2462,0.3133,0.3208,0.2686,0.2821,30,-0.016625
K1-04,0.3759,0.3337,0.3119,0.3608,0.3105,0.2391,0.275,0.2749,45,0.0707
K1-04,0.4188,0.3907,0.4108,0.3904,0.4311,0.3174,0.3895,0.4236,48,0.012275
K1-04,0.5059,0.4236,0.4336,0.4047,0.5255,0.3658,0.3452,0.4163,51,0.02875
K1-04,0.4907,0.5258,0.5259,0.5824,0.5867,0.3968,0.3906,0.5181,66,0.05815
K1-04,0.6454,0.5668,0.6282,0.5871,0.6601,0.5463,0.4436,0.5859,69,0.0479
K1-04,0.6183,0.6832,0.5829,0.6184,0.6521,0.7345,0.4866,0.5858,72,0.01095
K1-04,0.8038,0.7212,0.6967,0.6121,0.677,0.4151,0.4304,0.6319,75,0.16985
K1-04,0.6157,0.6397,0.609,0.6503,0.4784,0.4345,0.4249,0.4658,90,0.177775
K1-04,0.7018,0.7011,0.5893,0.5542,0.5386,0.4621,0.3927,0.417,93,0.184
K1-04,0.6749,0.7204,0.6276,0.6429,0.3961,0.3673,0.3605,0.4086,96,0.283325
K1-04,0.7583,0.7099,0.6652,0.7536,0.4252,0.3185,0.3835,0.3992,99,0.34015
K1-04,0.7629,0.7195,0.6475,0.7062,0.3341,0.2831,0.4287,0.3915,114,0.349675
K1-04,0.8606,0.7359,0.6837,0.8408,0.3059,0.2823,0.3248,0.4921,117,0.428975
K1-05,0.1511,0.1647,0.1458,0.1503,0.1845,0.1914,0.1856,0.1762,0,-0.03145
K1-05,0.1572,0.1633,0.1518,0.1554,0.172,0.1802,0.1817,0.1774,3,-0.0209
K1-05,0.1671,0.1741,0.1596,0.1665,0.1811,0.187,0.1914,0.1853,6,-0.019375
K1-05,0.1934,0.1965,0.1825,0.1925,0.1967,0.2113,0.2144,0.2318,21,-0.022325
K1-05,0.2163,0.2397,0.2015,0.2107,0.2157,0.2283,0.2216,0.2408,24,-0.00955
K1-05,0.2361,0.2606,0.2122,0.2301,0.2282,0.2448,0.234,0.2433,27,-0.002825
K1-05,0.2572,0.2863,0.2291,0.2429,0.2459,0.2552,0.2561,0.2616,30,-0.000825
K1-05,0.3691,0.352,0.337,0.3219,0.2924,0.2949,0.3365,0.3057,45,0.037625
K1-05,0.363,0.4319,0.3848,0.3527,0.4071,0.3709,0.4093,0.3345,48,0.00265
K1-05,0.3906,0.4072,0.378,0.3627,0.397,0.388,0.4437,0.3323,51,-0.005625
K1-05,0.3393,0.5315,0.3632,0.4258,0.478,0.3505,0.3668,0.3669,66,0.0244
K1-05,0.3974,0.5141,0.4605,0.4719,0.5204,0.4381,0.4553,0.5262,69,-0.024025
K1-05,0.4391,0.455,0.4691,0.5563,0.4769,0.5678,0.5068,0.5829,72,-0.053725
K1-05,0.4658,0.5168,0.5417,0.5941,0.7049,0.5685,0.5344,0.5411,75,-0.057625
K1-05,0.5123,0.6001,0.5625,0.4817,0.5865,0.5358,0.5568,0.5455,90,-0.017
K1-05,0.4971,0.6336,0.664,0.5957,0.6306,0.5616,0.5207,0.5667,93,0.0277
K1-05,0.5767,0.5926,0.4686,0.7091,0.8326,0.6963,0.5192,0.5699,96,-0.06775
K1-05,0.5525,0.5856,0.5333,0.7676,0.7743,0.5168,0.4823,0.5947,99,0.017725
K1-05,0.4407,0.6529,0.4527,0.7057,0.5867,0.3569,0.3863,0.4167,114,0.12635
K1-05,0.5759,0.6789,0.4719,0.5615,0.5771,0.339,0.3355,0.3995,117,0.159275
K1-06,0.1555,0.1597,0.1488,0.1766,0.2077,0.2183,0.2088,0.178,0,-0.04305
K1-06,0.1752,0.1858,0.1742,0.186,0.2001,0.2155,0.2026,0.1853,3,-0.020575
K1-06,0.1905,0.2161,0.1926,0.1761,0.2074,0.2214,0.2131,0.2031,6,-0.017425
K1-06,0.2238,0.2241,0.2255,0.2389,0.2081,0.2318,0.254,0.2142,21,0.00105
K1-06,0.2494,0.2788,0.2418,0.225,0.2185,0.253,0.2503,0.2108,24,0.0156
K1-06,0.275,0.2897,0.2701,0.2418,0.222,0.2356,0.2425,0.2118,27,0.041175
K1-06,0.2996,0.3238,0.3626,0.3085,0.2268,0.2398,0.262,0.2198,30,0.086525
K1-06,0.3425,0.3998,0.3636,0.4446,0.2221,0.2295,0.2928,0.2298,45,0.144075
K1-06,0.4459,0.3745,0.3777,0.3735,0.2246,0.2297,0.2599,0.2348,48,0.15565
K1-06,0.4379,0.4192,0.4833,0.4873,0.2239,0.2254,0.2798,0.2379,51,0.215175
K1-06,0.651,0.5382,0.5787,0.504,0.2144,0.2194,0.3124,0.2184,66,0.326825
K1-06,0.5982,0.5331,0.6328,0.61,0.2093,0.2289,0.3408,0.2219,69,0.3433
K1-06,0.6426,0.5639,0.6015,0.6123,0.2087,0.2799,0.3269,0.273,72,0.33295
K1-06,0.6395,0.5428,0.6603,0.674,0.2214,0.2546,0.3555,0.2539,75,0.3578
K1-06,0.6913,0.6502,0.644,0.7368,0.2187,0.2773,0.2968,0.2556,90,0.418475
K1-06,0.6973,0.6482,0.5609,0.7894,0.4246,0.2389,0.3449,0.2665,93,0.355225
K1-06,0.7006,0.892,0.707,0.6568,0.4289,0.2505,0.5069,0.3664,96,0.350925
K1-06,0.7473,0.8412,0.8259,0.98,0.4172,0.5413,0.3679,0.4373,99,0.407675
K1-06,0.74,0.6937,0.6507,0.6313,0.1847,0.1977,0.2817,0.4427,114,0.402225
K1-06,0.8241,0.6595,0.6131,0.634,0.1936,0.3476,0.2409,0.2011,117,0.436875
K1-07,0.1568,0.167,0.1681,0.1545,0.2055,0.1879,0.2056,0.2046,0,-0.0393
K1-07,0.1703,0.1712,0.1783,0.1741,0.1875,0.1847,0.1838,0.1955,3,-0.0144
K1-07,0.1772,0.1855,0.1865,0.182,0.2047,0.1968,0.1986,0.2132,6,-0.020525
K1-07,0.2035,0.2511,0.2209,0.2055,0.217,0.2005,0.2067,0.2073,21,0.012375
K1-07,0.2556,0.2552,0.2279,0.2214,0.2199,0.2174,0.2213,0.2205,24,0.02025
K1-07,0.2273,0.2503,0.2307,0.2178,0.2193,0.2098,0.2296,0.2305,27,0.009225
K1-07,0.2464,0.2853,0.2512,0.2497,0.2271,0.2323,0.236,0.24,30,0.0243
K1-07,0.3551,0.3367,0.3664,0.3994,0.2548,0.2388,0.2645,0.2684,45,0.107775
K1-07,0.3665,0.3971,0.3142,0.3518,0.2672,0.2652,0.2964,0.2878,48,0.07825
K1-07,0.4385,0.3789,0.4002,0.3663,0.2808,0.2768,0.3004,0.2957,51,0.10755
K1-07,0.453,0.3821,0.4973,0.5051,0.3335,0.2721,0.5246,0.3187,66,0.09715
K1-07,0.4639,0.5351,0.4697,0.5773,0.4066,0.2799,0.3727,0.3271,69,0.164925
K1-07,0.5842,0.5361,0.5053,0.5248,0.335,0.3046,0.5112,0.3044,72,0.1738
K1-07,0.5807,0.5191,0.5151,0.5774,0.3996,0.5229,0.7993,0.3553,75,0.0288
K1-07,0.5052,0.5478,0.4948,0.6936,0.3536,0.5855,0.387,0.3581,90,0.1393
K1-07,0.6663,0.5897,0.5451,0.701,0.4106,0.3355,0.3844,0.4208,93,0.2377
K1-07,0.5813,0.6374,0.7258,0.7191,0.3528,0.3975,0.6287,0.3549,96,0.232425
K1-07,0.5921,0.7061,0.7761,0.7092,0.3459,0.3887,0.5647,0.3658,99,0.2796
K1-07,0.7138,0.5586,0.9168,0.6988,0.3397,0.286,0.4511,0.3752,114,0.359
K1-07,0.76,0.6521,0.7042,0.5922,0.3151,0.2941,0.3575,0.3828,117,0.33975
K1-08,0.1736,0.1777,0.1671,0.1776,0.1983,0.2562,0.2152,0.2027,0,-0.0441
K1-08,0.181,0.1902,0.1773,0.184,0.1902,0.2179,0.2101,0.1997,3,-0.02135
K1-08,0.1937,0.2016,0.1845,0.1989,0.2047,0.2258,0.2181,0.2107,6,-0.02015
K1-08,0.2013,0.2231,0.206,0.2274,0.2076,0.2444,0.2598,0.2239,21,-0.019475
K1-08,0.2356,0.2448,0.2354,0.2703,0.222,0.2706,0.2563,0.2403,24,-0.000775
K1-08,0.2587,0.2415,0.2404,0.2901,0.2295,0.2715,0.2279,0.2351,27,0.016675
K1-08,0.2861,0.2564,0.265,0.3146,0.2342,0.2835,0.2224,0.2182,30,0.04095
K1-08,0.2443,0.3739,0.2858,0.17,0.2649,0.324,0.2045,0.2401,45,0.010125
K1-08,0.2927,0.5126,0.4012,0.354,0.3018,0.3496,0.3121,0.274,48,0.08075
K1-08,0.3815,0.4053,0.4909,0.2845,0.2772,0.4546,0.2598,0.373,51,0.0494
K1-08,0.533,0.4867,0.4888,0.4317,0.272,0.5494,0.3955,0.5289,66,0.0486
K1-08,0.4601,0.432,0.5131,0.4605,0.4443,0.7482,0.6255,0.561,69,-0.128325
K1-08,0.5106,0.5125,0.541,0.5059,0.5132,0.9206,0.4704,0.6529,72,-0.121775
K1-08,0.4871,0.4741,0.5326,0.5634,0.8635,0.9681,0.5154,0.6745,75,-0.241075
K1-08,0.574,0.6174,0.6047,0.6466,0.9782,0.4776,0.5238,0.5748,90,-0.027925
K1-08,0.7791,0.6891,0.6094,0.5389,0.4743,0.4023,0.6304,0.6302,93,0.119825
K1-08,0.5861,0.6013,0.6817,0.5008,0.7731,0.6453,0.5611,0.6787,96,-0.072075
K1-08,0.8102,0.5736,0.6561,0.8869,0.5516,0.5356,0.5612,0.5858,99,0.17315
K1-08,0.776,0.7155,0.7043,0.609,0.4375,0.4352,0.3759,0.4924,114,0.26595
K1-08,0.6816,0.7546,0.8076,0.6156,0.3737,0.4187,0.3826,0.3601,117,0.331075
K1-09,0.2063,0.1863,0.2014,0.1807,0.2445,0.241,0.2309,0.2162,0,-0.039475
K1-09,0.1904,0.1853,0.1905,0.1825,0.2238,0.2305,0.2176,0.2133,3,-0.034125
K1-09,0.2021,0.2157,0.2048,0.2136,0.2309,0.2374,0.2331,0.2151,6,-0.020075
K1-09,0.2415,0.2641,0.2301,0.2309,0.2451,0.2297,0.2451,0.223,21,0.005925
K1-09,0.2644,0.2241,0.2517,0.2433,0.2503,0.2409,0.2476,0.2335,24,0.0028
K1-09,0.2808,0.2704,0.2631,0.2837,0.2412,0.232,0.2624,0.2389,27,0.030875
K1-09,0.3149,0.319,0.3117,0.3277,0.2483,0.2295,0.2771,0.2493,30,0.067275
K1-09,0.3735,0.4756,0.3935,0.4896,0.2567,0.2243,0.2443,0.2435,45,0.19085
K1-09,0.3756,0.4722,0.4609,0.383,0.2495,0.2163,0.2785,0.2759,48,0.167875
K1-09,0.426,0.5622,0.4421,0.5963,0.2912,0.2426,0.3058,0.2552,51,0.23295
K1-09,0.6107,0.6555,0.5713,0.7004,0.2716,0.2449,0.2956,0.2818,66,0.361
K1-09,0.6682,0.6645,0.575,0.6431,0.2623,0.2586,0.3231,0.3661,69,0.335175
K1-09,0.6522,0.6704,0.6631,0.6906,0.2787,0.2894,0.3334,0.3252,72,0.3624
K1-09,0.6495,0.7046,0.6863,0.7158,0.2541,0.2301,0.282,0.237,75,0.43825
K1-09,0.6932,0.636,0.7275,0.649,0.2528,0.2195,0.3341,0.3219,90,0.39435
K1-09,0.6245,0.6901,0.7476,0.731,0.2382,0.3584,0.3813,0.3173,93,0.3745
K1-09,0.6784,0.7713,0.8062,0.7366,0.3464,0.2381,0.4097,0.2803,96,0.4295
K1-09,1.0012,0.6394,0.794,0.7107,0.2725,0.2661,0.369,0.2824,99,0.488825
K1-09,0.6456,0.5722,0.7662,0.5993,0.3416,0.2002,0.2689,0.3051,114,0.366875
K1-09,0.6896,0.5695,0.7909,0.5958,0.2866,0.2374,0.281,0.2514,117,0.39735
WRC-01,0.1067,0.1032,0.1062,0.1041,0.1392,0.1339,0.1386,0.1342,0,-0.031425
WRC-01,0.1076,0.106,0.1088,0.1051,0.1377,0.1325,0.1381,0.1286,3,-0.02735
WRC-01,0.1068,0.109,0.1147,0.1112,0.1361,0.1341,0.1404,0.13,6,-0.024725
WRC-01,0.1088,0.1134,0.1323,0.1156,0.1367,0.1392,0.1513,0.1367,21,-0.02345
WRC-01,0.1087,0.1118,0.1338,0.1205,0.1417,0.1356,0.1714,0.1396,24,-0.028375
WRC-01,0.1119,0.1189,0.1403,0.1181,0.1432,0.1481,0.187,0.1525,27,-0.0354
WRC-01,0.1122,0.1198,0.1381,0.1223,0.1418,0.1567,0.1819,0.1522,30,-0.03505
WRC-01,0.1101,0.1258,0.1383,0.1309,0.1409,0.1414,0.1721,0.1393,45,-0.02215
WRC-01,0.1194,0.1218,0.1162,0.1131,0.151,0.1449,0.1714,0.1407,48,-0.034375
WRC-01,0.1199,0.124,0.1173,0.1305,0.155,0.1481,0.174,0.153,51,-0.0346
WRC-01,0.1198,0.121,0.1281,0.1318,0.1744,0.159,0.1944,0.168,66,-0.048775
WRC-01,0.1218,0.1343,0.1339,0.1404,0.193,0.1756,0.2107,0.208,69,-0.064225
WRC-01,0.1231,0.1328,0.1322,0.1341,0.1965,0.1857,0.215,0.1947,72,-0.067425
WRC-01,0.1257,0.1313,0.1529,0.1438,0.2057,0.1908,0.2304,0.2045,75,-0.069425
WRC-01,0.1429,0.144,0.1377,0.149,0.2264,0.1843,0.2792,0.242,90,-0.089575
WRC-01,0.1312,0.1448,0.1427,0.1482,0.2343,0.2119,0.2947,0.2578,93,-0.10795
WRC-01,0.135,0.1433,0.1455,0.1395,0.2538,0.2276,0.3322,0.2673,96,-0.1294
WRC-01,0.1363,0.1329,0.1366,0.1427,0.2828,0.2605,0.3499,0.2908,99,-0.158875
WRC-01,0.1465,0.1384,0.1487,0.128,0.3023,0.2287,0.394,0.3048,114,-0.16705
WRC-01,0.1533,0.1458,0.1507,0.152,0.3122,0.2372,0.4099,0.3397,117,-0.1743
CC-1690,0.1548,0.1518,0.1619,0.1478,0.1911,0.2214,0.2048,0.1938,0,-0.0487
CC-1690,0.1682,0.1766,0.1768,0.1801,0.2035,0.1806,0.1868,0.1892,3,-0.0146
CC-1690,0.2098,0.1705,0.1752,0.1861,0.1951,0.2017,0.2036,0.2008,6,-0.0149
CC-1690,0.2117,0.2133,0.2247,0.1958,0.1834,0.1876,0.1993,0.1847,21,0.022625
CC-1690,0.2596,0.2382,0.2497,0.2425,0.213,0.2345,0.2642,0.2302,24,0.012025
CC-1690,0.2714,0.2373,0.2856,0.2606,0.2101,0.2025,0.2359,0.1899,27,0.054125
CC-1690,0.2944,0.2889,0.343,0.2405,0.2076,0.1962,0.3134,0.2531,30,0.049125
CC-1690,0.4055,0.362,0.3719,0.4029,0.2704,0.2198,0.2703,0.2285,45,0.138325
CC-1690,0.347,0.3387,0.3613,0.2997,0.2537,0.2589,0.2876,0.2319,48,0.07865
CC-1690,0.4872,0.4009,0.4121,0.464,0.2665,0.238,0.2901,0.2583,51,0.177825
CC-1690,0.465,0.4557,0.5085,0.4651,0.3335,0.2726,0.3255,0.2582,66,0.176125
CC-1690,0.3984,0.5228,0.4045,0.4281,0.3512,0.3033,0.3711,0.2727,69,0.113875
CC-1690,0.4664,0.629,0.4459,0.4788,0.364,0.2789,0.347,0.2818,72,0.1871
CC-1690,0.4543,0.4362,0.5688,0.4911,0.3095,0.3044,0.3469,0.3098,75,0.16995
CC-1690,0.4622,0.4487,0.6095,0.4595,0.3485,0.2349,0.2688,0.2767,90,0.21275
CC-1690,0.6371,0.5905,0.5625,0.4796,0.3427,0.3754,0.3501,0.2453,93,0.23905
CC-1690,0.4617,0.5655,0.611,0.5172,0.3224,0.2754,0.2769,0.3473,96,0.23335
CC-1690,0.5173,0.5379,0.7669,0.5474,0.3744,0.4321,0.2958,0.7198,99,0.13685
CC-1690,0.6379,0.6811,0.8048,0.6187,0.2829,0.2219,0.2628,0.2697,114,0.4263
CC-1690,0.6164,0.6421,0.6606,0.6535,0.2683,0.2372,0.2979,0.2784,117,0.3727
CC-1691,0.135,0.1447,0.1416,0.1422,0.18,0.1856,0.1941,0.1899,0,-0.046525
CC-1691,0.1684,0.1638,0.1722,0.1596,0.1761,0.1671,0.1793,0.1933,3,-0.01295
CC-1691,0.1701,0.1858,0.1572,0.1778,0.2153,0.1817,0.201,0.1956,6,-0.025675
CC-1691,0.1853,0.1952,0.2045,0.1739,0.1726,0.1781,0.1755,0.1811,21,0.0129
CC-1691,0.179,0.1996,0.1882,0.1853,0.1855,0.1963,0.1999,0.1888,24,-0.0046
CC-1691,0.2046,0.2231,0.2051,0.2082,0.2058,0.189,0.2162,0.183,27,0.01175
CC-1691,0.2116,0.2237,0.2096,0.2281,0.1968,0.1946,0.225,0.2077,30,0.012225
CC-1691,0.2608,0.2276,0.2898,0.257,0.1987,0.1982,0.2353,0.2162,45,0.0467
CC-1691,0.3123,0.2806,0.2608,0.2976,0.2057,0.2058,0.2529,0.2569,48,0.0575
CC-1691,0.3914,0.3202,0.4403,0.2841,0.2292,0.1985,0.2839,0.3132,51,0.1028
CC-1691,0.4894,0.4423,0.4617,0.4689,0.2171,0.2134,0.2783,0.2558,66,0.224425
CC-1691,0.5476,0.4738,0.485,0.4687,0.2427,0.2252,0.2975,0.4113,69,0.1996
CC-1691,0.5626,0.4798,0.5073,0.4488,0.2459,0.2323,0.2996,0.2246,72,0.249025
CC-1691,0.5486,0.5766,0.5608,0.5712,0.2466,0.2543,0.3037,0.2911,75,0.290375
CC-1691,0.6169,0.4652,0.572,0.509,0.2453,0.22,0.3166,0.2775,90,0.275925
CC-1691,0.6381,0.5544,0.6607,0.5673,0.2666,0.2665,0.3508,0.23,93,0.32665
